#He so k la
3.0
#Number of Nodes
4
# list of nodes
#x #y #z
14.55643663131197 16.29881190445778 0.0
2.5986324312086153 2.8359885613422904 0.0
14.696562694584216 7.027686832977634 0.0
4.493828499764807 12.832255466579468 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
0 0 6229
0 1 1413
0 2 6463
0 3 2320
1 0 1383
1 1 7537
1 2 3851
1 3 1910
2 0 6636
2 1 4204
2 2 29331
2 3 3962
3 0 2345
3 1 1923
3 2 3888
3 3 5850
#Chi tiet cac cum
6.171438762144951
12
1 11.06655399874596 19.45665599633768 0.0
3 16.4009540517265 19.191898737183575 0.0
5 12.228720948942144 16.90181908360358 0.0
12 12.641940859773609 15.35096448267234 0.0
14 10.132188095631362 16.871107969028607 0.0
25 9.904936869128726 15.744231700354229 0.0
33 19.103497644090766 13.8981581883596 0.0
40 17.964214660840412 19.722135096861667 0.0
42 16.71520744202084 15.116022627978442 0.0
45 14.072836813474936 13.872483383880331 0.0
47 15.331118306987342 17.32144397830725 0.0
52 19.115069884381025 12.13882160892604 0.0
4.4876317075253125
10
4 4.84611799527438 4.270781881983509 0.0
9 2.0293721071371382 3.88028746361422 0.0
11 4.2860385527566915 3.8747922389965703 0.0
13 0.9639323187646484 2.5150344662830384 0.0
18 6.57370484796065 4.918688161371946 0.0
21 1.667808306413526 2.331869155979893 0.0
30 0.22816477335815222 3.5116779436703878 0.0
31 3.440259441636266 1.7634141555342584 0.0
35 0.9945082930049717 0.260883844267768 0.0
54 0.9564176757797253 1.0324563017213062 0.0
5.95866137282892
25
0 17.166334535766214 8.050183756234905 0.0
2 17.19921268316311 6.012964155305502 0.0
7 17.123169548793047 1.8862230630371757 0.0
8 12.554524429991503 10.938084218900164 0.0
10 19.577223181000235 5.621679460929464 0.0
17 10.749501457732244 6.744289452513165 0.0
19 17.962829216116923 10.59125094355281 0.0
20 18.402174800694034 8.51559433495398 0.0
22 8.737918088155903 7.0418222610293 0.0
23 12.487424977397025 11.153026643440224 0.0
24 19.20235142631169 4.289042634209404 0.0
27 14.918211104070918 3.0711162988912046 0.0
28 17.717384916505978 3.009863218361283 0.0
29 12.713405846220972 8.776839341276734 0.0
32 12.496206073991603 2.537678180100869 0.0
37 13.903184941155656 9.749248521450198 0.0
38 14.391373974277718 10.217050185801352 0.0
39 15.46824654504054 8.754806278759952 0.0
41 17.852477284713288 9.168590230475786 0.0
44 11.216226641843148 10.840652963044977 0.0
46 11.467321939598396 4.186793606151843 0.0
48 15.965152596282769 2.8067873821295817 0.0
49 11.050108637720887 3.0126679305492643 0.0
50 16.543372967491603 9.648822218982518 0.0
51 10.548729550569991 9.06709354435912 0.0
6.884770309148396
9
6 0.833050820482843 18.663101802455785 0.0
15 6.125167655447366 14.409647299960241 0.0
16 1.9045667712811303 9.058106172455217 0.0
26 7.080388987100452 14.783964528677181 0.0
34 3.617142149533371 11.360022827690681 0.0
36 4.5476887644475905 11.020114359814285 0.0
43 2.8690569640828603 11.095077630136153 0.0
53 5.438011157886759 12.221692932818959 0.0
55 8.0293832276209 12.878571645206726 0.0
