#He so k la
3.0
#Number of Nodes
3
# list of nodes
#x #y #z
14.9198564142245 8.268570661855115 0.0
4.519981876126472 14.599920015939333 0.0
6.182377498003353 3.2776369482598926 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
0 0 23266
0 1 3231
0 2 7816
1 0 3295
1 1 2580
1 2 2343
2 0 8491
2 1 2382
2 2 13115
#Chi tiet cac cum
7.170612705733336
24
2 14.74098831243369 1.1001892003405214 0.0
3 11.666005661258565 8.691341074189925 0.0
5 13.333010158714826 14.831316404837086 0.0
6 17.057923147063466 1.6563061849548097 0.0
7 9.13519796915888 8.810749504526058 0.0
9 14.495148855928822 2.541182011801391 0.0
10 17.974289526567414 12.441441647265922 0.0
14 15.532567844723438 7.057286869032608 0.0
16 16.694582029333443 3.1634695060533997 0.0
18 13.658159831298896 10.52161819554027 0.0
20 17.322401670635276 10.783988347395479 0.0
23 11.192593644629259 11.832610119527622 0.0
25 12.512940307479305 11.39323910016854 0.0
29 9.697508350119435 10.672897996432305 0.0
32 10.739576890495464 8.009992683533879 0.0
33 14.493041056038518 9.219548073383482 0.0
34 16.260420412380057 8.02694270699164 0.0
35 17.585159486971417 14.318586968819927 0.0
36 19.61214351962122 3.298147364970348 0.0
37 15.51468663184921 8.903948097898814 0.0
38 15.84551217342674 5.322649064628972 0.0
41 19.750200151882204 7.942420760797767 0.0
44 13.450079657421442 5.034073791578538 0.0
45 19.81241665195699 12.871750209853474 0.0
5.128987232764086
8
1 2.22597553875403 13.156371659560072 0.0
11 7.121104920567794 18.31944946907002 0.0
12 6.162425532486315 14.17848325475238 0.0
13 3.316956339577677 19.585824105697625 0.0
19 6.099766294777424 11.397947698519411 0.0
22 2.348126752575017 10.285029761970586 0.0
30 7.604830788872736 13.541067085295506 0.0
46 1.2806688414007845 16.335187092649047 0.0
7.315488798445343
17
0 4.183880642280924 7.895975486811237 0.0
4 1.7582784860872622 3.522019884209884 0.0
8 11.146691227371695 2.630382402558803 0.0
15 8.811354234874894 0.7237192617273437 0.0
17 6.402865391798997 4.042003959302594 0.0
21 5.98662342493127 1.1904699880996992 0.0
24 1.4956645793623649 2.4901906947732315 0.0
26 8.026088589777899 4.074885942036615 0.0
27 2.3012010116678208 5.522070048345369 0.0
28 10.278230224221858 2.417119617213186 0.0
31 11.081694389386152 0.8853239456041228 0.0
39 3.665308483253692 6.456603903873177 0.0
40 9.516458938061282 0.23418362890654043 0.0
42 5.440485670152043 3.686361515380825 0.0
43 0.8650530469137867 4.091577435916627 0.0
47 1.2752911253316772 5.555142533344683 0.0
48 12.86524800058338 0.30179787231424016 0.0
