#He so k la
3.0
#Number of Nodes
4
# list of nodes
#x #y #z
3.9417292739689476 6.440792957924401 0.0
10.8567051341167 15.66548893962178 0.0
17.60830825189351 9.360030865805772 0.0
12.989606580601333 2.8379106281222444 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
0 0 13395
0 1 4295
0 2 3730
0 3 7860
1 0 4516
1 1 10538
1 2 5534
1 3 5181
2 0 3858
2 1 5457
2 2 14162
2 3 8016
3 0 7622
3 1 4883
3 2 8318
3 3 27336
#Chi tiet cac cum
6.161943303303142
17
0 4.680225969246243 7.567472269427345 0.0
1 1.6790969094760637 10.567482294966377 0.0
2 3.3466533918329295 9.408413579483767 0.0
5 7.6484139680423775 8.528370150765934 0.0
13 0.7370386418263064 2.27223292099903 0.0
14 2.085027989444886 4.550880028995794 0.0
16 1.0388030917434563 4.0011078737524315 0.0
26 3.97564197590968 7.85139380988847 0.0
27 5.902187240083745 1.1023941153683556 0.0
36 3.031458511193398 12.535130691555386 0.0
38 0.6959416797599713 3.1780455555704465 0.0
48 4.502008653032863 6.025100197562068 0.0
51 6.881732411948999 6.762642247246076 0.0
54 7.776606470615322 9.386889418505508 0.0
61 8.287000655904823 5.398626325795049 0.0
62 2.209797382517595 2.651625844435659 0.0
67 2.531762714893464 7.705672960397128 0.0
7.365945895031411
15
9 13.275283163352164 14.869271391282297 0.0
19 11.514324302551282 18.718230551454734 0.0
25 11.182159849989777 12.96553587093609 0.0
30 11.205870127783557 11.397998195769755 0.0
31 16.060283890566637 17.41615029035481 0.0
35 7.208851456030002 14.922408700036428 0.0
42 10.25399507200738 17.367320322176486 0.0
43 13.52503884033674 19.063507733760737 0.0
49 15.19189539746556 18.193406853500402 0.0
52 11.295730984920018 10.422690327695442 0.0
53 9.429627931909902 14.3684457208566 0.0
55 15.75480655866065 17.75994464084352 0.0
59 5.026863875867534 16.686610860067056 0.0
60 3.49492573698787 15.417773303176324 0.0
65 8.430919823321434 15.413039332416012 0.0
6.366831200134985
16
6 16.91405424626289 13.856618890864919 0.0
8 18.174680916382666 11.87686245694381 0.0
12 19.755970168279745 15.161494381306278 0.0
20 15.12796775028029 7.775160103368394 0.0
24 18.118558629423045 7.490914079100383 0.0
28 18.557798521486127 8.642176601234564 0.0
33 19.896231842148932 4.24898609782617 0.0
39 19.707575844369984 3.349239311759804 0.0
41 16.7194986398652 8.99118252414852 0.0
45 18.594035212182785 4.920315449454128 0.0
46 14.678434371296255 10.322738626750189 0.0
50 18.757106695369718 9.278349555368205 0.0
56 16.375103934985344 12.584784296632314 0.0
57 14.843007606231982 11.07161857950185 0.0
58 18.574929772903506 10.217398286005622 0.0
64 16.937977878827752 9.972654612627187 0.0
5.382275075792726
21
3 16.97822243602243 0.1906898723055075 0.0
4 13.088776573866163 1.9644211474394306 0.0
7 14.422136924738316 1.6251568394335618 0.0
10 11.341700849711515 2.2683084525160657 0.0
11 14.171390493671543 2.5066749557358006 0.0
15 11.08282411442078 1.3614956451506026 0.0
17 13.534970304669493 7.161444052718376 0.0
18 12.074278730288608 1.851512235107366 0.0
21 16.772384191679116 1.833914587475007 0.0
22 8.33656904144778 0.22743835265894286 0.0
23 10.579713537387283 6.127204731425751 0.0
29 17.755052081502885 0.3360285027141062 0.0
32 10.439338444310224 1.8478677649353812 0.0
34 11.016648134796846 5.247463483455942 0.0
37 18.26296118059662 3.2760599194142173 0.0
40 11.728623850083956 0.4030796192297017 0.0
44 16.267801638571722 2.593072884049816 0.0
47 12.207822066885758 7.1328490976312455 0.0
63 11.247745382942352 3.826695437227761 0.0
66 12.301383205290398 3.806882423683355 0.0
68 9.171395009744163 4.007863186259192 0.0
