#He so k la
3.0
#Number of Nodes
119
# list of nodes
#x #y #z
6.728800170746483 50.80760833772533 0.0
99.77551829640396 14.17268359689103 0.0
79.26872715531599 99.64071645873373 0.0
43.72352830262338 3.0276060356488417 0.0
61.35373349484536 51.79856353974221 0.0
29.576248454417684 94.83267866849246 0.0
1.0087958938985455 11.429319457102489 0.0
97.19703041755452 53.28337704519733 0.0
34.62329540810426 33.5793788847336 0.0
67.94967778938853 21.596553277822068 0.0
55.19169940707179 78.63392228215619 0.0
1.2799518263199463 78.71912091502924 0.0
29.5333223396691 60.41493522335543 0.0
78.70380338838633 72.86071179332082 0.0
21.04368046902477 6.74117749610657 0.0
90.54880216479762 35.26491483809331 0.0
12.986702840408993 25.601586916441597 0.0
87.35401905114827 2.9460371259052924 0.0
49.2443894248319 22.651908309375784 0.0
81.91755373904681 51.427280896228254 0.0
98.5034533069806 72.67559914926781 0.0
39.618098343601254 50.40288855445158 0.0
16.089892408419434 66.5362556946204 0.0
34.01491003076573 15.30906017698235 0.0
60.88718788940791 34.78724142017493 0.0
51.63957619406527 64.46370077850597 0.0
60.477786920691216 1.4403238021172236 0.0
14.985913397304461 97.1055297961914 0.0
28.17712128042151 79.56066490058595 0.0
65.2046931940854 92.80576715333837 0.0
41.415581489252176 92.69778560831725 0.0
1.8541172126167258 34.8510286198877 0.0
81.63812010719317 18.50474753074392 0.0
23.914406726617518 39.64933651728181 0.0
72.4158515704239 33.90828256973802 0.0
67.83934215124485 61.84204328684464 0.0
2.88423869386618 61.382155483844016 0.0
2.3286639767507076 20.21557368210863 0.0
19.468739839625854 54.74849398973913 0.0
88.19960453849194 91.40648965954315 0.0
23.388783300289 22.811122453492885 0.0
15.102871273610234 14.88607701804005 0.0
85.44672609862693 59.94433870105371 0.0
47.03425998710962 32.42608428705101 0.0
88.55535447834035 77.9678593626203 0.0
64.0480570133525 9.801428876138415 0.0
28.57361820474462 50.02988794341244 0.0
50.15769232816625 42.23921793104946 0.0
34.40939116768012 76.84926525926801 0.0
92.82239307179142 24.14383597038073 0.0
11.334578071620053 4.80000897392905 0.0
46.69334859613 12.33888458519794 0.0
67.83571697725672 42.54984024355624 0.0
12.429091338685112 80.91478381918256 0.0
60.426361638824545 71.16121324044816 0.0
47.837304402235304 52.06927372043546 0.0
73.6565917371464 14.256640728146888 0.0
42.904208669411055 39.94426524346467 0.0
42.34120750845353 23.029613663592485 0.0
77.50285418312892 6.22431390524646 0.0
81.74958791362063 30.54472238451029 0.0
69.18895616934105 53.729104036594606 0.0
24.498119904047215 69.31088205970876 0.0
45.22147882089833 64.6254027831042 0.0
91.7504010838759 11.645308793633347 0.0
2.930612090169186 95.39870971178163 0.0
3.9495165556381253 69.65358326534351 0.0
55.28340755833966 11.71055094431104 0.0
29.374378079482526 3.3355367954750212 0.0
31.695190583778242 41.16221644781572 0.0
75.63753347012116 63.992336932061484 0.0
50.540147954767285 73.77660040064904 0.0
59.881776104975316 87.22536328315654 0.0
15.494673969952311 41.83410065452995 0.0
57.01995808655748 59.34306775270714 0.0
1.7091363020729977 55.06865984066671 0.0
88.59064816177164 70.92492936241605 0.0
71.16006059544337 90.40392777857147 0.0
2.392915150250347 45.558512906085596 0.0
74.30427956849677 27.49407978606504 0.0
22.33009237240271 84.87184117227008 0.0
77.69192575256542 86.35757559164406 0.0
29.12019156878144 31.17139173497431 0.0
22.17931577637046 14.27912270311536 0.0
88.92176021876706 52.773956821097016 0.0
76.050658658921 19.79579607995106 0.0
32.34942398010404 71.57048634843227 0.0
55.27366243710938 26.945943753004656 0.0
36.24193037164421 3.4006919487347362 0.0
81.55145649404665 62.691836355661096 0.0
41.64957784619529 81.38224468528117 0.0
29.70341436905685 10.391981554246845 0.0
73.86052085687572 49.08733620068961 0.0
6.896297447371683 11.12017131281188 0.0
82.37068380697701 12.2472626325568 0.0
22.92870114337426 61.896344928515035 0.0
51.54514951554842 4.949032006501011 0.0
15.90776378725431 35.156508767353195 0.0
71.02127713303616 74.0888557626684 0.0
8.58049725696149 61.48830941560381 0.0
34.800122154595236 55.20204402842424 0.0
40.44801225103821 15.667745587994487 0.0
68.50015891438707 30.200958088758103 0.0
66.50353652603181 1.7861466969790687 0.0
7.052808709145831 41.53863155828953 0.0
95.91648930814262 19.38749615037655 0.0
38.760754455759255 10.119809057949503 0.0
6.1161347621932505 25.964712603956293 0.0
85.35190898362289 25.08241985285759 0.0
83.45669412278474 47.32813447937305 0.0
35.97059880373318 21.300147908510425 0.0
63.26396034761089 19.65850644783244 0.0
20.451048585535027 47.06227988191408 0.0
41.17848765198028 27.603537864129507 0.0
10.175787532758585 72.8865898986045 0.0
60.91684892373587 40.58767750188381 0.0
13.47956353400346 50.75682424003063 0.0
0.5973837173787324 87.46133048994085 0.0
7.0804343313765035 31.951976333501104 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
0 0 82318
0 1 260
0 2 395
0 3 3146
0 4 708
0 5 2058
0 6 2948
0 7 965
0 8 3792
0 9 1653
0 10 1611
0 11 6120
0 12 7296
0 13 367
0 14 4645
0 15 1595
0 16 5936
0 17 700
0 18 1620
0 19 852
0 20 337
0 21 3760
0 22 9533
0 23 1295
0 24 948
0 25 566
0 26 1824
0 27 2887
0 28 1481
0 29 908
0 30 1201
0 31 11327
0 32 1556
0 33 10034
0 34 2663
0 35 1469
0 36 13434
0 37 6173
0 38 19748
0 39 270
0 40 10008
0 41 2665
0 42 996
0 43 5471
0 44 344
0 45 1870
0 46 8845
0 47 5629
0 48 5463
0 49 403
0 50 4836
0 51 6144
0 52 3831
0 53 1941
0 54 3819
0 55 7595
0 56 2308
0 57 2687
0 58 1484
0 59 1413
0 60 329
0 61 845
0 62 5359
0 63 1822
0 64 597
0 65 2503
0 66 4458
0 67 3320
0 68 4024
0 69 11155
0 70 1041
0 71 2494
0 72 473
0 73 10726
0 74 855
0 75 20246
0 76 878
0 77 782
0 78 24523
0 79 1628
0 80 1719
0 81 1190
0 82 3426
0 83 4354
0 84 1912
0 85 1906
0 86 4691
0 87 2102
0 88 3414
0 89 1175
0 90 657
0 91 5617
0 92 358
0 93 4021
0 94 1801
0 95 5046
0 96 3176
0 97 7759
0 98 2077
0 99 9427
0 100 1066
0 101 3425
0 102 1566
0 103 677
0 104 11035
0 105 532
0 106 3895
0 107 890
0 108 618
0 109 717
0 110 1616
0 111 1998
0 112 7728
0 113 4830
0 114 4195
0 115 1619
0 116 18274
0 117 658
0 118 7612
1 0 396
1 1 0
1 2 67
1 3 655
1 4 80
1 5 282
1 6 181
1 7 144
1 8 440
1 9 969
1 10 339
1 11 299
1 12 349
1 13 101
1 14 262
1 15 1223
1 16 291
1 17 620
1 18 300
1 19 74
1 20 158
1 21 259
1 22 311
1 23 23
1 24 355
1 25 53
1 26 404
1 27 211
1 28 130
1 29 145
1 30 143
1 31 274
1 32 1851
1 33 290
1 34 779
1 35 132
1 36 158
1 37 268
1 38 354
1 39 33
1 40 627
1 41 259
1 42 315
1 43 769
1 44 126
1 45 1009
1 46 420
1 47 894
1 48 438
1 49 104
1 50 516
1 51 800
1 52 916
1 53 108
1 54 702
1 55 383
1 56 1032
1 57 343
1 58 66
1 59 388
1 60 349
1 61 204
1 62 288
1 63 231
1 64 994
1 65 103
1 66 106
1 67 851
1 68 632
1 69 613
1 70 314
1 71 202
1 72 28
1 73 222
1 74 186
1 75 145
1 76 329
1 77 151
1 78 356
1 79 235
1 80 75
1 81 187
1 82 218
1 83 268
1 84 312
1 85 1007
1 86 306
1 87 714
1 88 573
1 89 426
1 90 18
1 91 723
1 92 114
1 93 377
1 94 1337
1 95 198
1 96 699
1 97 349
1 98 365
1 99 153
1 100 116
1 101 172
1 102 625
1 103 284
1 104 157
1 105 2419
1 106 409
1 107 74
1 108 594
1 109 289
1 110 85
1 111 339
1 112 113
1 113 569
1 114 61
1 115 155
1 116 226
1 117 71
1 118 359
2 0 317
2 1 45
2 2 0
2 3 267
2 4 47
2 5 258
2 6 92
2 7 197
2 8 297
2 9 139
2 10 502
2 11 385
2 12 474
2 13 235
2 14 312
2 15 389
2 16 233
2 17 38
2 18 152
2 19 50
2 20 213
2 21 360
2 22 425
2 23 129
2 24 45
2 25 64
2 26 267
2 27 598
2 28 187
2 29 875
2 30 235
2 31 280
2 32 279
2 33 316
2 34 406
2 35 326
2 36 192
2 37 380
2 38 604
2 39 479
2 40 661
2 41 128
2 42 340
2 43 557
2 44 144
2 45 156
2 46 334
2 47 621
2 48 788
2 49 64
2 50 385
2 51 537
2 52 432
2 53 93
2 54 1443
2 55 727
2 56 376
2 57 323
2 58 125
2 59 191
2 60 19
2 61 327
2 62 399
2 63 188
2 64 155
2 65 107
2 66 145
2 67 373
2 68 319
2 69 767
2 70 576
2 71 389
2 72 285
2 73 178
2 74 129
2 75 251
2 76 318
2 77 1085
2 78 287
2 79 240
2 80 173
2 81 1659
2 82 184
2 83 303
2 84 512
2 85 257
