#He so k la
3.0
#Number of Nodes
81
# list of nodes
#x #y #z
29.5691904183329 46.221920179501545 0.0
95.16967523532546 3.6892092200138404 0.0
82.43455817797664 97.48996647977802 0.0
0.5644018451655433 90.50320405794346 0.0
3.855433033085114 3.8800108581174335 0.0
85.58884208209824 50.05387345061507 0.0
45.99657810746602 2.403369018847275 0.0
49.2326917552359 75.26792350278015 0.0
3.3488289693889954 45.65038070057711 0.0
58.832863451106704 26.733756440926644 0.0
30.835069468006953 92.19511802103067 0.0
22.86746456384701 16.785791808235835 0.0
91.34092590825597 76.83970511063558 0.0
15.251526108100492 71.69117003800682 0.0
68.83940864428013 3.4466301062574054 0.0
85.68776406552877 21.001899490457497 0.0
60.28105656012421 57.594504695491246 0.0
4.301767593562873 24.07137731874664 0.0
23.884451701567937 2.4737004607606594 0.0
51.840823973684124 97.56021424008776 0.0
72.74518444710618 76.19415390855458 0.0
18.566784730325992 57.80705819359585 0.0
42.79585667536102 66.20087879199578 0.0
73.63401116767406 27.021422473820266 0.0
41.22973621024597 17.67074359824535 0.0
14.611543495095379 41.2846938002665 0.0
3.3187488142511317 76.58533019017923 0.0
42.08065945062135 34.119569071522925 0.0
13.770415327074891 97.3593619555388 0.0
87.28499787970429 65.56180199189797 0.0
89.51715798463869 35.721021138846865 0.0
10.495968414386047 14.405904931536558 0.0
49.97827653148367 55.112212608701874 0.0
35.070796822678346 77.74912591464206 0.0
97.04037814710821 16.00843776196718 0.0
11.825550907946857 3.4814276914216733 0.0
71.0800703424169 89.03578014110943 0.0
79.09407415725828 12.719824863609484 0.0
18.080895659816466 29.340119332107935 0.0
68.7869262084057 52.22905502089651 0.0
59.76000592237699 17.209382266854448 0.0
32.72805331627991 28.70798475380208 0.0
17.390410449845856 89.07625548373966 0.0
56.840024701041365 45.444716360734084 0.0
29.025261503369613 14.458665789284467 0.0
57.05176834145771 3.679235452934494 0.0
4.286781083791758 66.15318088602271 0.0
93.01188436096126 50.0410953560545 0.0
4.716205601673403 37.11809367980396 0.0
28.771828855262292 67.57347460041127 0.0
39.69035309490642 55.50497657120334 0.0
35.13838261906678 5.0341761373682905 0.0
34.428990399997396 20.383665738336372 0.0
12.231802140974619 83.47987573822513 0.0
24.38358062801386 98.62276901405153 0.0
62.13706878232138 75.38086153096918 0.0
25.132767604756356 56.242493708010635 0.0
66.65973305570745 14.037862277183692 0.0
49.353569111193224 40.7520376108968 0.0
55.27636679915991 63.74866853227829 0.0
60.688899180571106 92.34838916278571 0.0
46.90422935197594 25.403179233693812 0.0
90.75364187204156 7.051471575365375 0.0
79.78576738260935 30.356113869267837 0.0
79.49201791108538 82.93502685494144 0.0
64.74289564176111 35.32824503887274 0.0
53.24795187132726 14.511459583571995 0.0
27.66406493059217 34.65268775904686 0.0
25.871545280597687 82.34413255655501 0.0
21.509648970292726 46.27483103992141 0.0
1.8488956988126641 13.32221520308094 0.0
42.24605841980432 43.0458521844032 0.0
74.36489017942841 39.613283891929754 0.0
6.318950450724696 58.18508451500087 0.0
24.77347800517311 26.633593594948476 0.0
12.22242388795256 48.408641758272154 0.0
9.144302996441459 72.77876942403525 0.0
90.47774637268574 40.803077236524096 0.0
75.58868295534347 59.23743478836029 0.0
45.22263309593169 10.401230722989215 0.0
32.87427463468735 39.58174604788206 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
0 0 66602.35132154766
0 1 691.0720123121044
0 2 1232.4735852044319
0 3 1238.8458588978854
0 4 4174.588845875997
0 5 1908.540626900524
0 6 6482.127848063026
0 7 6691.54559669406
0 8 10922.246735553013
0 9 6800.11718177369
0 10 3504.93182393396
0 11 6489.353605487547
0 12 2521.6117831621273
0 13 5620.898155810551
0 14 2063.6380254651594
0 15 1762.81401483471
0 16 5159.43058817222
0 17 6639.771872858679
0 18 3845.3945436754248
0 19 1094.7642994391995
0 20 3534.121103743866
0 21 12945.887500852883
0 22 6558.568921246347
0 23 2719.092976177871
0 24 10144.362737263866
0 25 17833.634084391106
0 26 3093.418134258883
0 27 9948.996112402625
0 28 969.195956276902
0 29 2357.383690083131
0 30 1840.383876931806
0 31 7080.839493278774
0 32 5433.680068342908
0 33 3423.523346864853
0 34 1305.457265606757
0 35 8107.050692355012
0 36 1743.7613399346299
0 37 5707.57525747115
0 38 15665.341972515522
0 39 5794.8513057395585
0 40 6427.203634219119
0 41 16211.691948239662
0 42 4138.856277471903
0 43 9693.313858755657
0 44 9744.077787584809
0 45 5538.287674172224
0 46 3533.028545630833
0 47 1833.4748508492382
0 48 8077.094718414394
0 49 12569.488325306373
0 50 16045.171360824783
0 51 6783.011844313857
0 52 6278.322077783988
0 53 1818.1807522223664
0 54 573.6499593342704
0 55 2079.175892922497
0 56 20598.20622645965
0 57 5646.44437505329
0 58 10313.014845501
0 59 4171.7151315178935
0 60 2526.479624865039
0 61 9703.379463774017
0 62 2750.3339939887396
0 63 2224.2927140309816
0 64 1177.050202191625
0 65 3569.475297170836
0 66 2997.094759981874
0 67 20359.04561577068
0 68 3372.592587706669
0 69 34974.31340466883
0 70 6675.173628444061
0 71 11842.841445631615
0 72 2287.8415637351522
0 73 5475.154989038522
0 74 14697.17681765834
0 75 12034.2019145346
0 76 5292.2712130508535
0 77 1002.237633289915
0 78 5745.342778114093
0 79 6113.384924017532
0 80 22893.61811126874
1 0 1171.790169005931
1 1 1984.087480189487
1 2 298.6867518347562
1 3 212.48186882426603
1 4 661.9570583080814
1 5 559.0833576659916
1 6 1369.6605844948363
1 7 790.205668823946
1 8 692.7356850492936
1 9 1516.1907897921883
1 10 532.6240192875027
1 11 701.353034802276
1 12 660.4227261417092
1 13 257.2732519054746
1 14 1920.1778353429881
1 15 1777.8092497063608
1 16 635.1481501640944
1 17 882.4290924719462
1 18 756.4583297765324
1 19 166.3823062665855
1 20 667.5591128810919
1 21 365.28153389065153
1 22 501.32654046104483
1 23 1179.2421880011734
1 24 1769.4378455698193
1 25 768.6501166789087
1 26 375.07710185520097
1 27 936.0624237381707
1 28 133.6725630042173
1 29 718.9973660286443
1 30 805.1341684955416
1 31 1067.2909923095642
1 32 612.1821054493105
1 33 231.33169186305545
1 34 3570.3063222968412
1 35 1384.0006949838075
1 36 395.4143369186238
1 37 4407.8008177585
1 38 1184.9877367220884
1 39 923.7662857549855
1 40 2190.2468797726647
1 41 1012.1054416622262
1 42 439.2147767325616
1 43 1457.4236570024561
1 44 1648.7379112289602
1 45 2736.377516720309
1 46 344.18749473564446
1 47 732.2510883844012
1 48 599.9872739212681
1 49 855.8192179727504
1 50 668.083671047018
1 51 982.7496893428666
1 52 933.5900722118773
1 53 305.72596810489165
1 54 43.02092125225667
1 55 521.4993600150179
1 56 888.2126453607813
1 57 3167.367604261498
1 58 985.927400520579
1 59 587.3801222554429
1 60 475.56018146439607
1 61 1310.3453505607795
1 62 10342.284154792991
1 63 1392.3192003972247
1 64 340.35591938817515
1 65 1024.5978664092454
1 66 1239.8236812299729
1 67 948.892860015823
1 68 458.3695767856108
1 69 979.0581662288384
1 70 1006.437859217899
1 71 714.7380237952831
1 72 868.0370180182626
1 73 488.010551350404
1 74 1067.2427763954117
1 75 753.8949144519692
1 76 315.547944292044
1 77 548.037343403618
1 78 1527.143636514757
1 79 1141.2632514663485
1 80 775.1305403058158
2 0 1654.1643643756793
2 1 375.1045142638824
2 2 7564.031165392476
2 3 444.81380369461743
2 4 626.5187489612186
2 5 1018.0492929237112
2 6 1301.6410148752593
2 7 3203.237816784372
2 8 1137.8412136223017
2 9 1418.9125133215177
2 10 1092.6516467324345
2 11 757.2347524422605
2 12 3632.66634439264
2 13 521.9924557325797
2 14 635.5587560779771
2 15 663.9238994314936
